count,geometry,,,
2,<Point,<coordinates,"-0.135063,51.513594",/coordinates
3,<Point,<coordinates,"-0.135801,51.513227",/coordinates
1,<Point,<coordinates,"-0.135762,51.51318",/coordinates
2,<Point,<coordinates,"-0.13574,51.513132",/coordinates
1,<Point,<coordinates,"-0.135645,51.513048",/coordinates
1,<Point,<coordinates,"-0.135602,51.513006",/coordinates
1,<Point,<coordinates,"-0.135501,51.512883",/coordinates
1,<Point,<coordinates,"-0.135832,51.51327",/coordinates
3,<Point,<coordinates,"-0.136049,51.513459",/coordinates
3,<Point,<coordinates,"-0.13614,51.513431",/coordinates
3,<Point,<coordinates,"-0.136228,51.513402",/coordinates
3,<Point,<coordinates,"-0.134999,51.512593",/coordinates
1,<Point,<coordinates,"-0.134793,51.512585",/coordinates
2,<Point,<coordinates,"-0.134896,51.512555",/coordinates
1,<Point,<coordinates,"-0.135,51.512521",/coordinates
1,<Point,<coordinates,"-0.133483,51.513137",/coordinates
1,<Point,<coordinates,"-0.133265,51.513228",/coordinates
2,<Point,<coordinates,"-0.133296,51.513152",/coordinates
1,<Point,<coordinates,"-0.132933,51.513258",/coordinates
1,<Point,<coordinates,"-0.133998,51.513544",/coordinates
1,<Point,<coordinates,"-0.134042,51.513626",/coordinates
2,<Point,<coordinates,"-0.134156,51.513637",/coordinates
2,<Point,<coordinates,"-0.134091,51.513524",/coordinates
1,<Point,<coordinates,"-0.134272,51.51382",/coordinates
1,<Point,<coordinates,"-0.13422,51.513724",/coordinates
1,<Point,<coordinates,"-0.134704,51.513704",/coordinates
1,<Point,<coordinates,"-0.134782,51.513831",/coordinates
1,<Point,<coordinates,"-0.13501,51.513915",/coordinates
1,<Point,<coordinates,"-0.134923,51.513597",/coordinates
1,<Point,<coordinates,"-0.134885,51.514032",/coordinates
5,<Point,<coordinates,"-0.134212,51.513891",/coordinates
1,<Point,<coordinates,"-0.134135,51.513758",/coordinates
1,<Point,<coordinates,"-0.134364,51.514065",/coordinates
2,<Point,<coordinates,"-0.134447,51.514146",/coordinates
2,<Point,<coordinates,"-0.134479,51.514201",/coordinates
1,<Point,<coordinates,"-0.134658,51.51423",/coordinates
1,<Point,<coordinates,"-0.134367,51.514319",/coordinates
1,<Point,<coordinates,"-0.134179,51.514377",/coordinates
1,<Point,<coordinates,"-0.13416,51.514357",/coordinates
2,<Point,<coordinates,"-0.134069,51.514382",/coordinates
2,<Point,<coordinates,"-0.134085,51.514402",/coordinates
5,<Point,<coordinates,"-0.133821,51.514522",/coordinates
1,<Point,<coordinates,"-0.133922,51.514497",/coordinates
1,<Point,<coordinates,"-0.13385,51.514472",/coordinates
1,<Point,<coordinates,"-0.133725,51.514504",/coordinates
1,<Point,<coordinates,"-0.133745,51.514546",/coordinates
4,<Point,<coordinates,"-0.133676,51.514561",/coordinates
1,<Point,<coordinates,"-0.133563,51.514594",/coordinates
2,<Point,<coordinates,"-0.133467,51.514581",/coordinates
1,<Point,<coordinates,"-0.133393,51.514606",/coordinates
1,<Point,<coordinates,"-0.134474,51.515834",/coordinates
1,<Point,<coordinates,"-0.135259,51.515195",/coordinates
1,<Point,<coordinates,"-0.135395,51.515149",/coordinates
1,<Point,<coordinates,"-0.136022,51.514818",/coordinates
3,<Point,<coordinates,"-0.136804,51.514843",/coordinates
